molecule,atom_index_1,atom_index_2,bond_index,pred_bde
C/C(=C\C1=CC=CC=C1)/C=O,9,10,9,84.46624
C/C(=C\C1=CC=CC=C1)/C=O,0,13,13,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,0,12,12,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,0,11,11,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,8,3,10,88.113464
C/C(=C\C1=CC=CC=C1)/C=O,3,4,3,88.113464
C/C(=C\C1=CC=CC=C1)/C=O,9,20,20,88.495
C/C(=C\C1=CC=CC=C1)/C=O,1,9,8,92.25541
C/C(=C\C1=CC=CC=C1)/C=O,1,2,1,94.30711
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,3,4,3,59.679016
C/C=C/C=C/C(=O)OC,0,9,8,81.10842
C/C=C/C=C/C(=O)OC,0,11,10,81.10842
C/C=C/C=C/C(=O)OC,0,10,9,81.10842
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,8,9,8,77.392265
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,5,0,24,82.99706
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,0,1,0,83.0459
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,5,6,5,85.6833
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,4,5,4,86.07006
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,1,2,1,86.33697
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,6,7,6,86.695244
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,0,24,23,86.822365
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,2,3,2,86.83943
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,3,4,3,86.889366
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,7,8,7,86.9231
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,19,20,19,87.4631
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,8,9,8,87.563675
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,1,23,22,87.60427
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,17,18,17,87.624794
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,9,10,9,87.63102
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,10,11,10,87.63109
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,11,12,11,87.63109
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,15,16,15,87.63109
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,14,15,14,87.63109
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,13,14,13,87.63109
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,12,13,12,87.63109
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,16,17,16,87.63932
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,18,19,18,87.72723
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,3,22,21,88.89514
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,20,21,20,89.16481
C1/C=C\CC/C=C\C1,3,4,3,63.137535
C1/C=C\CC/C=C\C1,7,0,7,63.137535
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,7,6,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,8,9,8,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,18,17,77.04287
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,9,10,9,77.04287
C1=CC=C(C=C1)C2=CC=CC=C2,11,6,12,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,6,7,6,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,2,3,2,95.98397
C1=CC=C(C=C1)C2=CC=CC=C2,3,4,3,95.98397
C1=CC=C(C=C1)C2=CC=CC=C2,1,2,1,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,4,5,4,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,7,8,7,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,10,11,10,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,0,1,0,100.26851
C1=CC=C(C=C1)C2=CC=CC=C2,5,0,11,100.26851
C1=CC=C(C=C1)C2=CC=CC=C2,8,9,8,100.26851
